timestamp_ns,testbench,task_id,event,execution_time_ns,deadline_ns,temperature_c
585575494704,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575500019,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575503093,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575505444,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575524167,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575529444,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575532519,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575534852,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575553537,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575558815,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575561907,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575564222,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
